# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\rafae\OneDrive\Documents\Workspace\Faculdade\Processador\pinagem\DoomCpu.csv
# Generated on: Wed Jul 02 15:59:13 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
entrada[15],Input,PIN_AA22,5,B5_N2,PIN_AF22,2.5 V,,,,,
entrada[16],Input,PIN_Y24,5,B5_N2,PIN_AD22,2.5 V,,,,,
entrada[17],Input,PIN_Y23,5,B5_N2,PIN_AG25,2.5 V,,,,,
ps2_clk,Input,PIN_G6,1,B1_N0,PIN_G6,2.5 V,,,,,
ps2_data,Input,PIN_H5,1,B1_N1,PIN_H5,2.5 V,,,,,
reset_n,Input,PIN_R24,5,B5_N0,PIN_Y17,2.5 V,,,,,
blue[0],Output,PIN_B10,8,B8_N0,PIN_B10,2.5 V,,,,,
blue[1],Output,PIN_A10,8,B8_N0,PIN_A10,2.5 V,,,,,
blue[2],Output,PIN_C11,8,B8_N1,PIN_C11,2.5 V,,,,,
blue[3],Output,PIN_B11,8,B8_N0,PIN_B11,2.5 V,,,,,
blue[4],Output,PIN_A11,8,B8_N0,PIN_A11,2.5 V,,,,,
blue[5],Output,PIN_C12,8,B8_N0,PIN_C12,2.5 V,,,,,
blue[6],Output,PIN_D11,8,B8_N1,PIN_D11,2.5 V,,,,,
blue[7],Output,PIN_D12,8,B8_N0,PIN_D12,2.5 V,,,,,
green[0],Output,PIN_G8,8,B8_N2,PIN_G8,2.5 V,,,,,
green[1],Output,PIN_G11,8,B8_N1,PIN_G11,2.5 V,,,,,
green[2],Output,PIN_F8,8,B8_N2,PIN_F8,2.5 V,,,,,
green[3],Output,PIN_H12,8,B8_N1,PIN_H12,2.5 V,,,,,
green[4],Output,PIN_C8,8,B8_N1,PIN_C8,2.5 V,,,,,
green[5],Output,PIN_B8,8,B8_N1,PIN_B8,2.5 V,,,,,
green[6],Output,PIN_F10,8,B8_N1,PIN_F10,2.5 V,,,,,
green[7],Output,PIN_C9,8,B8_N1,PIN_C9,2.5 V,,,,,
hsync,Output,PIN_G13,8,B8_N0,PIN_G13,2.5 V,,,,,
ledr[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
ledr[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
ledr[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
ledr[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
red[0],Output,PIN_E12,8,B8_N1,PIN_E12,2.5 V,,,,,
red[1],Output,PIN_E11,8,B8_N1,PIN_E11,2.5 V,,,,,
red[2],Output,PIN_D10,8,B8_N1,PIN_D10,2.5 V,,,,,
red[3],Output,PIN_F12,8,B8_N1,PIN_F12,2.5 V,,,,,
red[4],Output,PIN_G10,8,B8_N1,PIN_G10,2.5 V,,,,,
red[5],Output,PIN_J12,8,B8_N0,PIN_J12,2.5 V,,,,,
red[6],Output,PIN_H8,8,B8_N2,PIN_H8,2.5 V,,,,,
red[7],Output,PIN_H10,8,B8_N1,PIN_H10,2.5 V,,,,,
seg[0],Output,,,,,,,,,,
seg[1],Output,,,,,,,,,,
seg[2],Output,,,,,,,,,,
seg[3],Output,,,,,,,,,,
seg[4],Output,,,,,,,,,,
seg[5],Output,,,,,,,,,,
seg[6],Output,,,,,,,,,,
seg[7],Output,,,,,,,,,,
vga_blank,Output,PIN_F11,8,B8_N1,PIN_F11,2.5 V,,,,,
vga_clock,Output,PIN_A12,8,B8_N0,PIN_A12,2.5 V,,,,,
vga_sync,Output,PIN_C10,8,B8_N0,PIN_C10,2.5 V,,,,,
vsync,Output,PIN_C13,8,B8_N0,PIN_C13,2.5 V,,,,,
