# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\rafae\OneDrive\Documents\Workspace\Faculdade\Processador\pinagem\DoomCpuOnline.csv
# Generated on: Wed Jul 02 15:54:56 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
entrada[7],Input,PIN_AD19,4,B4_N0,PIN_AD19,2.5 V,,,,,
entrada[6],Input,PIN_AF16,4,B4_N2,PIN_AF16,2.5 V,,,,,
entrada[5],Input,PIN_AC19,4,B4_N0,PIN_AC19,2.5 V,,,,,
entrada[4],Input,PIN_AE15,4,B4_N2,PIN_AE15,2.5 V,,,,,
entrada[3],Input,PIN_AD15,4,B4_N2,PIN_AD15,2.5 V,,,,,
entrada[2],Input,PIN_AE16,4,B4_N2,PIN_AE16,2.5 V,,,,,
entrada[1],Input,PIN_AD21,4,B4_N0,PIN_AD21,2.5 V,,,,,
entrada[0],Input,PIN_Y16,4,B4_N0,PIN_Y16,2.5 V,,,,,
green[7],Output,PIN_C9,8,B8_N1,PIN_C9,2.5 V,,,,,
green[6],Output,PIN_F10,8,B8_N1,PIN_F10,2.5 V,,,,,
green[5],Output,PIN_B8,8,B8_N1,PIN_B8,2.5 V,,,,,
green[4],Output,PIN_C8,8,B8_N1,PIN_C8,2.5 V,,,,,
green[3],Output,PIN_H12,8,B8_N1,PIN_H12,2.5 V,,,,,
green[2],Output,PIN_F8,8,B8_N2,PIN_F8,2.5 V,,,,,
green[1],Output,PIN_G11,8,B8_N1,PIN_G11,2.5 V,,,,,
green[0],Output,PIN_G8,8,B8_N2,PIN_G8,2.5 V,,,,,
hsync,Output,PIN_G13,8,B8_N0,PIN_G13,2.5 V,,,,,
ledr[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
ledr[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
ledr[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
ledr[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
ps2_clk,Input,PIN_G6,1,B1_N0,PIN_G6,2.5 V,,,,,
ps2_data,Input,PIN_H5,1,B1_N1,PIN_H5,2.5 V,,,,,
red[7],Output,PIN_H10,8,B8_N1,PIN_H10,2.5 V,,,,,
red[6],Output,PIN_H8,8,B8_N2,PIN_H8,2.5 V,,,,,
red[5],Output,PIN_J12,8,B8_N0,PIN_J12,2.5 V,,,,,
red[4],Output,PIN_G10,8,B8_N1,PIN_G10,2.5 V,,,,,
red[3],Output,PIN_F12,8,B8_N1,PIN_F12,2.5 V,,,,,
red[2],Output,PIN_D10,8,B8_N1,PIN_D10,2.5 V,,,,,
red[1],Output,PIN_E11,8,B8_N1,PIN_E11,2.5 V,,,,,
red[0],Output,PIN_E12,8,B8_N1,PIN_E12,2.5 V,,,,,
reset_n,Input,PIN_Y17,4,B4_N0,PIN_Y17,2.5 V,,,,,
seg[7],Output,,,,,,,,,,
seg[6],Output,,,,,,,,,,
seg[5],Output,,,,,,,,,,
seg[4],Output,,,,,,,,,,
seg[3],Output,,,,,,,,,,
seg[2],Output,,,,,,,,,,
seg[1],Output,,,,,,,,,,
seg[0],Output,,,,,,,,,,
seg[0][0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
seg[0][1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
seg[0][2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
seg[0][3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
seg[0][4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
seg[0][5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
seg[0][6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
seg[1][0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
seg[1][1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
seg[1][2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
seg[1][3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
seg[1][4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
seg[1][5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
seg[1][6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
seg[2][0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
seg[2][1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
seg[2][2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
seg[2][3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
seg[2][4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
seg[2][5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
seg[2][6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
seg[3][0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
seg[3][1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
seg[3][2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
seg[3][3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
seg[3][4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
seg[3][5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
seg[3][6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
seg[4][0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
seg[4][1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
seg[4][2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
seg[4][3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
seg[4][4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
seg[4][5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
seg[4][6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
seg[5][0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
seg[5][1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
seg[5][2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
seg[5][3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
seg[5][4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
seg[5][5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
seg[5][6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
seg[6][0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
seg[6][1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
seg[6][2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
seg[6][3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
seg[6][4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
seg[6][5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
seg[6][6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
seg[7][0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
seg[7][1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
seg[7][2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
seg[7][3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
seg[7][4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
seg[7][5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
seg[7][6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
vga_blank,Output,PIN_F11,8,B8_N1,PIN_F11,2.5 V,,,,,
vga_clock,Output,PIN_A12,8,B8_N0,PIN_A12,2.5 V,,,,,
vga_sync,Output,PIN_C10,8,B8_N0,PIN_C10,2.5 V,,,,,
vsync,Output,PIN_C13,8,B8_N0,PIN_C13,2.5 V,,,,,
